result_id,result_name,expected_value,tolerance,observed_value,pass
billboard_universe,Billboard song-artist universe,32124.0,0.0,32124.0,True
film_linked_records,Film-linked Billboard records,4683.0,0.0,4683.0,True
spotify_high_coverage_observations,High-coverage Spotify song-snapshot observations,83785.0,0.0,83785.0,True
expected_memory_observations,Valid expected-memory observations,83780.0,0.0,83780.0,True
lastfm_records,Last.fm July 2017 records with listener counts,17988.0,0.0,17988.0,True
dormant_excess,Dormant excess-attention contrast,5.044,0.02,5.0438,True
dormant_excess_ci_low,Dormant excess lower CI,2.9717349744564836,0.03,2.9717,True
dormant_excess_ci_high,Dormant excess upper CI,6.8680165404201325,0.03,6.868,True
dormant_exit_pp,Dormant low-memory exit difference percentage points,17.987,0.05,17.9866,True
pseudo_event_positive_assignments,Positive pseudo-event assignments,500.0,0.0,500.0,True
decay_equivalent_years,Dormant decay-equivalent years,6.882718446724269,0.03,6.8827,True
film_visibility_n,Film-visibility model support,15245.0,0.0,15245.0,True
